Date,BFSI
Aug-01,-0.094
Aug-01,-0.098
Aug-01,-0.104
Aug-01,-0.111
Aug-01,-0.117
Aug-01,-0.122
Aug-01,-0.124
Aug-01,-0.126
Aug-01,-0.127
Aug-01,-0.13
Aug-01,-0.134
Aug-01,-0.14
Aug-01,-0.145
Aug-01,-0.149
Aug-01,-0.151
Sep-01,-0.154
Sep-01,-0.157
Sep-01,-0.16
Sep-01,-0.163
Sep-01,-0.16
Sep-01,-0.154
Sep-01,-0.141
Sep-01,-0.128
Sep-01,-0.113
Sep-01,-0.093
Sep-01,-0.063
Sep-01,-0.025
Sep-01,0.028
Sep-01,0.087
Sep-01,0.14
Sep-01,0.175
Sep-01,0.194
Sep-01,0.193
Sep-01,0.178
Sep-01,0.156
Oct-01,0.136
Oct-01,0.12
Oct-01,0.109
Oct-01,0.102
Oct-01,0.1
Oct-01,0.103
Oct-01,0.104
Oct-01,0.106
Oct-01,0.106
Oct-01,0.104
Oct-01,0.099
Oct-01,0.095
Oct-01,0.09
Oct-01,0.087
Oct-01,0.081
Oct-01,0.074
Oct-01,0.067
Oct-01,0.059
Oct-01,0.049
Oct-01,0.039
Oct-01,0.031
Oct-01,0.026
Oct-01,0.022
Nov-01,0.018
Nov-01,0.019
Nov-01,0.017
Nov-01,0.013
Nov-01,0.008
Nov-01,0.001
Nov-01,-0.01
Nov-01,-0.019
Nov-01,-0.031
Nov-01,-0.044
Nov-01,-0.057
Nov-01,-0.069
Nov-01,-0.083
Nov-01,-0.096
Nov-01,-0.107
Nov-01,-0.116
Nov-01,-0.124
Nov-01,-0.13
Nov-01,-0.132
Nov-01,-0.132
Nov-01,-0.129
Nov-01,-0.125
Dec-01,-0.119
Dec-01,-0.114
Dec-01,-0.11
Dec-01,-0.11
Dec-01,-0.11
Dec-01,-0.11
Dec-01,-0.107
Dec-01,-0.099
Dec-01,-0.088
Dec-01,-0.078
Dec-01,-0.068
Dec-01,-0.062
Dec-01,-0.06
Dec-01,-0.061
Dec-01,-0.063
Dec-01,-0.065
Dec-01,-0.066
Dec-01,-0.067
Dec-01,-0.068
Dec-01,-0.067
Dec-01,-0.067
Jan-02,-0.066
Jan-02,-0.066
Jan-02,-0.066
Jan-02,-0.069
Jan-02,-0.072
Jan-02,-0.075
Jan-02,-0.078
Jan-02,-0.079
Jan-02,-0.076
Jan-02,-0.072
Jan-02,-0.068
Jan-02,-0.064
Jan-02,-0.061
Jan-02,-0.062
Jan-02,-0.064
Jan-02,-0.064
Jan-02,-0.064
Jan-02,-0.064
Jan-02,-0.062
Jan-02,-0.061
Jan-02,-0.06
Jan-02,-0.058
Jan-02,-0.058
Feb-02,-0.06
Feb-02,-0.063
Feb-02,-0.07
Feb-02,-0.079
Feb-02,-0.084
Feb-02,-0.085
Feb-02,-0.085
Feb-02,-0.085
Feb-02,-0.085
Feb-02,-0.089
Feb-02,-0.094
Feb-02,-0.099
Feb-02,-0.101
Feb-02,-0.101
Feb-02,-0.098
Feb-02,-0.095
Feb-02,-0.094
Feb-02,-0.096
Feb-02,-0.1
Feb-02,-0.106
Mar-02,-0.116
Mar-02,-0.127
Mar-02,-0.139
Mar-02,-0.152
Mar-02,-0.165
Mar-02,-0.175
Mar-02,-0.184
Mar-02,-0.189
Mar-02,-0.19
Mar-02,-0.19
Mar-02,-0.189
Mar-02,-0.188
Mar-02,-0.187
Mar-02,-0.189
Mar-02,-0.189
Mar-02,-0.19
Mar-02,-0.189
Mar-02,-0.188
Mar-02,-0.184
Mar-02,-0.18
Mar-02,-0.176
Apr-02,-0.175
Apr-02,-0.175
Apr-02,-0.178
Apr-02,-0.182
Apr-02,-0.189
Apr-02,-0.194
Apr-02,-0.198
Apr-02,-0.202
Apr-02,-0.204
Apr-02,-0.203
Apr-02,-0.202
Apr-02,-0.201
Apr-02,-0.199
Apr-02,-0.198
Apr-02,-0.199
Apr-02,-0.201
Apr-02,-0.202
Apr-02,-0.203
Apr-02,-0.203
Apr-02,-0.201
Apr-02,-0.198
Apr-02,-0.202
May-02,-0.214
May-02,-0.233
May-02,-0.258
May-02,-0.29
May-02,-0.315
May-02,-0.332
May-02,-0.34
May-02,-0.343
May-02,-0.339
May-02,-0.336
May-02,-0.333
May-02,-0.331
May-02,-0.329
May-02,-0.33
May-02,-0.332
May-02,-0.336
May-02,-0.343
May-02,-0.348
May-02,-0.351
May-02,-0.353
May-02,-0.353
May-02,-0.35
May-02,-0.349
Jun-02,-0.347
Jun-02,-0.345
Jun-02,-0.343
Jun-02,-0.341
Jun-02,-0.335
Jun-02,-0.328
Jun-02,-0.32
Jun-02,-0.309
Jun-02,-0.298
Jun-02,-0.288
Jun-02,-0.278
Jun-02,-0.268
Jun-02,-0.26
Jun-02,-0.253
Jun-02,-0.245
Jun-02,-0.235
Jun-02,-0.22
Jun-02,-0.2
Jun-02,-0.176
Jun-02,-0.151
Jul-02,-0.128
Jul-02,-0.108
Jul-02,-0.093
Jul-02,-0.083
Jul-02,-0.077
Jul-02,-0.071
Jul-02,-0.066
Jul-02,-0.061
Jul-02,-0.054
Jul-02,-0.046
Jul-02,-0.035
Jul-02,-0.023
Jul-02,-0.012
Jul-02,-0.001
Jul-02,0.009
Jul-02,0.018
Jul-02,0.026
Jul-02,0.036
Jul-02,0.048
Jul-02,0.06
Jul-02,0.069
Jul-02,0.075
Jul-02,0.077
Aug-02,0.075
Aug-02,0.074
Aug-02,0.078
Aug-02,0.084
Aug-02,0.095
Aug-02,0.105
Aug-02,0.111
Aug-02,0.109
Aug-02,0.102
Aug-02,0.087
Aug-02,0.068
Aug-02,0.05
Aug-02,0.033
Aug-02,0.016
Aug-02,0.003
Aug-02,-0.006
Aug-02,-0.014
Aug-02,-0.019
Aug-02,-0.023
Aug-02,-0.026
Aug-02,-0.027
Aug-02,-0.029
Sep-02,-0.031
Sep-02,-0.029
Sep-02,-0.026
Sep-02,-0.023
Sep-02,-0.018
Sep-02,-0.012
Sep-02,-0.011
Sep-02,-0.013
Sep-02,-0.018
Sep-02,-0.025
Sep-02,-0.034
Sep-02,-0.04
Sep-02,-0.044
Sep-02,-0.045
Sep-02,-0.043
Sep-02,-0.038
Sep-02,-0.03
Sep-02,-0.021
Sep-02,-0.014
Sep-02,-0.008
Sep-02,-0.002
Oct-02,0
Oct-02,0.001
Oct-02,0.005
Oct-02,0.008
Oct-02,0.01
Oct-02,0.018
Oct-02,0.029
Oct-02,0.041
Oct-02,0.056
Oct-02,0.071
Oct-02,0.083
Oct-02,0.09
Oct-02,0.094
Oct-02,0.094
Oct-02,0.091
Oct-02,0.089
Oct-02,0.087
Oct-02,0.085
Oct-02,0.082
Oct-02,0.082
Oct-02,0.082
Oct-02,0.081
Oct-02,0.08
Nov-02,0.078
Nov-02,0.074
Nov-02,0.067
Nov-02,0.061
Nov-02,0.051
Nov-02,0.039
Nov-02,0.024
Nov-02,0.009
Nov-02,-0.013
Nov-02,-0.031
Nov-02,-0.045
Nov-02,-0.058
Nov-02,-0.068
Nov-02,-0.077
Nov-02,-0.088
Nov-02,-0.102
Nov-02,-0.117
Nov-02,-0.133
Nov-02,-0.146
Nov-02,-0.155
Nov-02,-0.161
Dec-02,-0.164
Dec-02,-0.165
Dec-02,-0.166
Dec-02,-0.167
Dec-02,-0.169
Dec-02,-0.169
Dec-02,-0.168
Dec-02,-0.167
Dec-02,-0.166
Dec-02,-0.166
Dec-02,-0.17
Dec-02,-0.175
Dec-02,-0.18
Dec-02,-0.183
Dec-02,-0.187
Dec-02,-0.19
Dec-02,-0.193
Dec-02,-0.196
Dec-02,-0.2
Dec-02,-0.201
Dec-02,-0.202
Dec-02,-0.203
Jan-03,-0.205
Jan-03,-0.209
Jan-03,-0.22
Jan-03,-0.234
Jan-03,-0.248
Jan-03,-0.263
Jan-03,-0.277
Jan-03,-0.289
Jan-03,-0.299
Jan-03,-0.308
Jan-03,-0.316
Jan-03,-0.321
Jan-03,-0.324
Jan-03,-0.325
Jan-03,-0.323
Jan-03,-0.319
Jan-03,-0.313
Jan-03,-0.306
Jan-03,-0.297
Jan-03,-0.286
Jan-03,-0.277
Jan-03,-0.268
Jan-03,-0.263
Feb-03,-0.265
Feb-03,-0.272
Feb-03,-0.281
Feb-03,-0.294
Feb-03,-0.304
Feb-03,-0.308
Feb-03,-0.309
Feb-03,-0.308
Feb-03,-0.304
Feb-03,-0.302
Feb-03,-0.302
Feb-03,-0.303
Feb-03,-0.305
Feb-03,-0.31
Feb-03,-0.317
Feb-03,-0.325
Feb-03,-0.333
Feb-03,-0.341
Feb-03,-0.349
Feb-03,-0.357
Mar-03,-0.366
Mar-03,-0.375
Mar-03,-0.385
Mar-03,-0.394
Mar-03,-0.4
Mar-03,-0.403
Mar-03,-0.403
Mar-03,-0.401
Mar-03,-0.398
Mar-03,-0.396
Mar-03,-0.397
Mar-03,-0.398
Mar-03,-0.399
Mar-03,-0.4
Mar-03,-0.4
Mar-03,-0.398
Mar-03,-0.396
Mar-03,-0.396
Mar-03,-0.397
Mar-03,-0.397
Mar-03,-0.4
Apr-03,-0.403
Apr-03,-0.406
Apr-03,-0.41
Apr-03,-0.416
Apr-03,-0.423
Apr-03,-0.432
Apr-03,-0.441
Apr-03,-0.45
Apr-03,-0.462
Apr-03,-0.473
Apr-03,-0.484
Apr-03,-0.497
Apr-03,-0.51
Apr-03,-0.523
Apr-03,-0.534
Apr-03,-0.545
Apr-03,-0.554
Apr-03,-0.561
Apr-03,-0.568
Apr-03,-0.576
Apr-03,-0.584
Apr-03,-0.592
May-03,-0.6
May-03,-0.608
May-03,-0.617
May-03,-0.626
May-03,-0.635
May-03,-0.646
May-03,-0.656
May-03,-0.665
May-03,-0.675
May-03,-0.683
May-03,-0.691
May-03,-0.699
May-03,-0.705
May-03,-0.708
May-03,-0.711
May-03,-0.712
May-03,-0.714
May-03,-0.717
May-03,-0.721
May-03,-0.726
May-03,-0.732
May-03,-0.737
Jun-03,-0.742
Jun-03,-0.747
Jun-03,-0.753
Jun-03,-0.761
Jun-03,-0.77
Jun-03,-0.779
Jun-03,-0.79
Jun-03,-0.801
Jun-03,-0.813
Jun-03,-0.824
Jun-03,-0.836
Jun-03,-0.848
Jun-03,-0.858
Jun-03,-0.867
Jun-03,-0.875
Jun-03,-0.879
Jun-03,-0.878
Jun-03,-0.876
Jun-03,-0.873
Jun-03,-0.867
Jun-03,-0.861
Jul-03,-0.855
Jul-03,-0.846
Jul-03,-0.836
Jul-03,-0.825
Jul-03,-0.815
Jul-03,-0.805
Jul-03,-0.798
Jul-03,-0.793
Jul-03,-0.791
Jul-03,-0.79
Jul-03,-0.79
Jul-03,-0.791
Jul-03,-0.79
Jul-03,-0.789
Jul-03,-0.785
Jul-03,-0.781
Jul-03,-0.777
Jul-03,-0.775
Jul-03,-0.772
Jul-03,-0.771
Jul-03,-0.77
Jul-03,-0.767
Jul-03,-0.763
Aug-03,-0.76
Aug-03,-0.753
Aug-03,-0.745
Aug-03,-0.736
Aug-03,-0.726
Aug-03,-0.714
Aug-03,-0.705
Aug-03,-0.699
Aug-03,-0.695
Aug-03,-0.694
Aug-03,-0.694
Aug-03,-0.694
Aug-03,-0.695
Aug-03,-0.697
Aug-03,-0.703
Aug-03,-0.712
Aug-03,-0.724
Aug-03,-0.735
