Date,Valuation Index
Nov-81,-0.169771818
Nov-81,-0.171426354
Nov-81,-0.170016486
Nov-81,-0.166407398
Nov-81,-0.167030142
Nov-81,-0.162316879
Nov-81,-0.160618267
Nov-81,-0.160687842
Nov-81,-0.15814694
Nov-81,-0.154690164
Dec-81,-0.155385912
Dec-81,-0.15953344
Dec-81,-0.158400696
Dec-81,-0.15508318
Dec-81,-0.158850589
Dec-81,-0.160695837
Dec-81,-0.159087686
Dec-81,-0.158224041
Dec-81,-0.160529503
Dec-81,-0.167331058
Dec-81,-0.166845253
Dec-81,-0.168524239
Dec-81,-0.166849456
Dec-81,-0.16410188
Dec-81,-0.166281928
Dec-81,-0.167704264
Dec-81,-0.169245242
Dec-81,-0.168409278
Dec-81,-0.168478362
Dec-81,-0.169739576
Dec-81,-0.171907232
Dec-81,-0.170240009
Dec-81,-0.169035956
Jan-82,-0.169063043
Jan-82,-0.168736151
Jan-82,-0.176777247
Jan-82,-0.179792807
Jan-82,-0.180728008
Jan-82,-0.179052589
Jan-82,-0.187924254
Jan-82,-0.189313825
Jan-82,-0.194240824
Jan-82,-0.192745273
Jan-82,-0.190113089
Jan-82,-0.188371038
Jan-82,-0.191628989
Jan-82,-0.194213653
Jan-82,-0.193217548
Jan-82,-0.194409628
Jan-82,-0.195880154
Jan-82,-0.196956642
Jan-82,-0.195472704
Jan-82,-0.185660683
Jan-82,-0.181676574
Feb-82,-0.190319751
Feb-82,-0.189542611
Feb-82,-0.193113167
Feb-82,-0.193750805
Feb-82,-0.191217406
Feb-82,-0.199342024
Feb-82,-0.202834309
Feb-82,-0.200407516
Feb-82,-0.20101198
Feb-82,-0.201149859
Feb-82,-0.201234124
Feb-82,-0.202793422
Feb-82,-0.203523134
Feb-82,-0.203200496
Feb-82,-0.205071159
Feb-82,-0.209503207
Feb-82,-0.21055972
Feb-82,-0.205468486
Feb-82,-0.205435679
Feb-82,-0.205933781
Mar-82,-0.205337974
Mar-82,-0.206891992
Mar-82,-0.21257815
Mar-82,-0.216046002
Mar-82,-0.218574085
Mar-82,-0.224706461
Mar-82,-0.221331945
Mar-82,-0.219819188
Mar-82,-0.220342368
Mar-82,-0.223069582
Mar-82,-0.22158059
Mar-82,-0.221676479
Mar-82,-0.222184545
Mar-82,-0.218167744
Mar-82,-0.216993334
Mar-82,-0.210415986
Mar-82,-0.208059359
Mar-82,-0.20966646
Mar-82,-0.20867476
Mar-82,-0.211796788
Mar-82,-0.211231365
Mar-82,-0.211326925
Mar-82,-0.211957035
Apr-82,-0.206955143
Apr-82,-0.203283412
Apr-82,-0.204526043
Apr-82,-0.202761549
Apr-82,-0.202175235
Apr-82,-0.199914792
Apr-82,-0.200024543
Apr-82,-0.200850465
Apr-82,-0.200865611
Apr-82,-0.201474825
Apr-82,-0.200104066
Apr-82,-0.198630323
Apr-82,-0.199054803
Apr-82,-0.202706721
Apr-82,-0.201948973
Apr-82,-0.197897359
Apr-82,-0.194051079
Apr-82,-0.192563401
Apr-82,-0.195844179
Apr-82,-0.19797224
Apr-82,-0.201202185
Apr-82,-0.200667991
May-82,-0.200041147
May-82,-0.19821186
May-82,-0.197775985
May-82,-0.194855796
May-82,-0.192540321
May-82,-0.195447976
May-82,-0.192440246
May-82,-0.193091038
May-82,-0.195856222
May-82,-0.196185102
May-82,-0.200361841
May-82,-0.203201829
May-82,-0.206291923
May-82,-0.20783787
May-82,-0.207026857
May-82,-0.207981795
May-82,-0.209278231
May-82,-0.213496482
May-82,-0.21520234
May-82,-0.216910594
May-82,-0.217231205
Jun-82,-0.218424725
Jun-82,-0.217565601
Jun-82,-0.218490109
Jun-82,-0.223870122
Jun-82,-0.22463615
Jun-82,-0.226300131
Jun-82,-0.228813431
Jun-82,-0.227504869
Jun-82,-0.222385673
Jun-82,-0.226322744
Jun-82,-0.227728481
Jun-82,-0.229780836
Jun-82,-0.233701222
Jun-82,-0.235062703
Jun-82,-0.235695136
Jun-82,-0.232861315
Jun-82,-0.227867385
Jun-82,-0.228537367
Jun-82,-0.230661405
Jun-82,-0.228064869
Jun-82,-0.229881237
Jun-82,-0.230253049
Jul-82,-0.232628426
Jul-82,-0.235240357
Jul-82,-0.235476323
Jul-82,-0.236763872
Jul-82,-0.237454253
Jul-82,-0.237199783
Jul-82,-0.233484873
Jul-82,-0.231581215
Jul-82,-0.231936099
Jul-82,-0.229845388
Jul-82,-0.229619075
Jul-82,-0.228098437
Jul-82,-0.228813329
Jul-82,-0.2268533
Jul-82,-0.227310329
Jul-82,-0.226952847
Jul-82,-0.227418768
Jul-82,-0.23004301
Jul-82,-0.232653997
Jul-82,-0.237915392
Jul-82,-0.238499468
Jul-82,-0.240235114
Aug-82,-0.23552666
Aug-82,-0.238445946
Aug-82,-0.243376615
Aug-82,-0.246100033
Aug-82,-0.250120046
Aug-82,-0.252983685
Aug-82,-0.253702792
Aug-82,-0.254801124
Aug-82,-0.255761818
Aug-82,-0.252466476
Aug-82,-0.251580447
Aug-82,-0.238477947
Aug-82,-0.238502718
Aug-82,-0.237265069
Aug-82,-0.226991813
Aug-82,-0.218484952
Aug-82,-0.219293586
Aug-82,-0.212473106
Aug-82,-0.208698886
Aug-82,-0.212707773
Aug-82,-0.211372624
Aug-82,-0.206900421
Sep-82,-0.209736136
Sep-82,-0.20480633
Sep-82,-0.198233126
Sep-82,-0.198482865
Sep-82,-0.201615455
Sep-82,-0.199298436
Sep-82,-0.199458993
Sep-82,-0.202471348
Sep-82,-0.199654623
Sep-82,-0.196839653
Sep-82,-0.19361776
Sep-82,-0.194558338
Sep-82,-0.198012103
Sep-82,-0.199064929
Sep-82,-0.192646111
Sep-82,-0.194382916
Sep-82,-0.195200875
Sep-82,-0.196327747
Sep-82,-0.196135766
Sep-82,-0.196994707
Sep-82,-0.201575229
Sep-82,-0.204657851
Oct-82,-0.200754749
Oct-82,-0.2023441
Oct-82,-0.200776254
Oct-82,-0.190065626
Oct-82,-0.18189479
Oct-82,-0.175423137
Oct-82,-0.165645001
Oct-82,-0.165996112
Oct-82,-0.158101771
Oct-82,-0.163834395
Oct-82,-0.166503601
Oct-82,-0.158530858
Oct-82,-0.158841223
Oct-82,-0.151369866
Oct-82,-0.151177616
Oct-82,-0.151210501
Oct-82,-0.167288637
Oct-82,-0.164975258
Oct-82,-0.161730267
Oct-82,-0.165682646
Oct-82,-0.165329097
Nov-82,-0.160888639
Nov-82,-0.154754733
Nov-82,-0.13991772
Nov-82,-0.141749731
Nov-82,-0.140403586
Nov-82,-0.144856613
Nov-82,-0.137504438
Nov-82,-0.142085669
Nov-82,-0.140424598
Nov-82,-0.145470906
Nov-82,-0.152607643
Nov-82,-0.158750794
Nov-82,-0.151758793
Nov-82,-0.150174827
Nov-82,-0.15331814
Nov-82,-0.16099424
Nov-82,-0.164942605
Nov-82,-0.162453024
Nov-82,-0.162546803
Nov-82,-0.159875451
Nov-82,-0.162317766
Nov-82,-0.151209561
Dec-82,-0.149722856
Dec-82,-0.149971506
Dec-82,-0.150337916
Dec-82,-0.143004943
Dec-82,-0.140337233
Dec-82,-0.14220582
Dec-82,-0.147402341
Dec-82,-0.149246012
Dec-82,-0.149194501
Dec-82,-0.156066094
Dec-82,-0.162982957
Dec-82,-0.163317872
Dec-82,-0.157411498
Dec-82,-0.16109224
Dec-82,-0.1554185
Dec-82,-0.154443947
Dec-82,-0.151812913
Dec-82,-0.151908234
Dec-82,-0.146240005
Dec-82,-0.149703194
Dec-82,-0.148407531
Dec-82,-0.150566506
Dec-82,-0.149400219
Jan-83,-0.15579818
Jan-83,-0.148785954
Jan-83,-0.14614718
Jan-83,-0.136236628
Jan-83,-0.135720233
Jan-83,-0.130888011
Jan-83,-0.133519932
Jan-83,-0.130895193
Jan-83,-0.133423575
Jan-83,-0.130800172
Jan-83,-0.130285474
Jan-83,-0.131177801
Jan-83,-0.134453634
Jan-83,-0.131857293
Jan-83,-0.138907151
Jan-83,-0.151534131
Jan-83,-0.147256665
Jan-83,-0.147353289
Jan-83,-0.139993801
Jan-83,-0.138794865
Jan-83,-0.136999138
Feb-83,-0.142486497
Feb-83,-0.142319393
Feb-83,-0.139511962
Feb-83,-0.13436875
Feb-83,-0.132326926
Feb-83,-0.135465932
Feb-83,-0.137042396
Feb-83,-0.130468552
Feb-83,-0.129773241
Feb-83,-0.126533845
Feb-83,-0.12717567
Feb-83,-0.129605084
Feb-83,-0.129894876
Feb-83,-0.128258317
